N cmd (ramp);N actual;I cmd (ramp);I actual;Id actual;I1 actual;I2 actual;I3 actual
0;423;0.00;0.00;0.00;0.00;0.00;0.00
0;416;0.00;0.53;0.53;0.00;0.53;-0.53
0;420;0.00;-0.53;-1.06;1.06;0.00;-1.06
0;412;0.00;0.00;0.00;0.00;0.53;-0.53
0;416;0.00;0.53;0.00;-0.53;0.53;0.00
0;412;0.00;-0.53;-0.53;1.06;-0.53;-0.53
0;412;0.00;0.00;0.00;0.53;0.00;-0.53
0;409;0.00;1.06;-0.53;-0.53;1.06;-0.53
0;402;0.00;0.53;0.00;0.53;0.00;-0.53
0;405;0.00;0.53;0.00;0.00;0.53;-0.53
0;405;0.00;0.00;-0.53;0.00;0.53;-0.53
0;402;0.00;0.53;0.00;0.53;-0.53;0.00
0;402;0.00;1.06;0.53;-0.53;1.06;-0.53
0;398;0.00;-1.59;-2.11;2.11;-0.53;-1.59
0;398;0.00;1.06;0.53;1.06;-0.53;-0.53
0;398;0.00;0.00;0.00;0.00;0.00;0.00
0;387;0.00;1.06;0.00;0.53;0.53;-1.06
0;394;0.00;0.53;0.00;-0.53;0.53;0.00
0;391;0.00;0.53;0.53;0.53;-0.53;0.00
0;394;0.00;0.53;0.00;0.00;0.53;-0.53
0;380;0.00;-1.06;-1.06;1.59;-0.53;-1.06
0;387;0.00;-0.53;-0.53;1.06;0.00;-1.06
0;380;0.00;0.53;0.00;0.00;0.53;-0.53
0;383;0.00;1.06;1.06;0.00;1.06;-1.06
0;380;0.00;0.53;0.00;0.53;0.00;-0.53
0;376;0.00;1.59;-0.53;1.59;-0.53;-1.06
0;372;0.00;-0.53;-0.53;-1.06;0.53;0.53
0;369;0.00;1.06;0.53;1.06;0.00;-1.06
0;372;0.00;0.00;0.00;0.00;0.00;0.00
0;365;0.00;1.06;0.00;1.06;-0.53;-0.53
0;365;0.00;0.00;-0.53;-0.53;0.53;0.00
0;365;0.00;0.53;0.00;0.53;0.00;-0.53
0;361;0.00;0.00;0.00;0.00;0.00;0.00
0;361;0.00;0.00;0.00;0.00;0.53;-0.53
0;358;0.00;0.00;0.00;0.00;0.00;0.00
0;361;0.00;0.53;0.00;0.53;-0.53;0.00
0;354;0.00;0.53;0.00;0.00;0.53;-0.53
0;361;0.00;0.53;0.00;0.00;0.53;-0.53
0;350;0.00;0.00;0.00;0.00;0.00;0.00
0;350;0.00;0.53;0.53;0.53;0.00;-0.53
0;350;0.00;1.06;0.53;0.53;0.53;-1.06
0;350;0.00;1.06;0.00;0.00;1.06;-1.06
0;347;0.00;-0.53;-0.53;-1.06;1.06;0.00
0;347;0.00;0.00;0.00;-0.53;0.53;0.00
0;343;0.00;0.53;0.53;0.00;0.53;-0.53
0;343;0.00;-0.53;-0.53;1.06;-0.53;-0.53
0;336;0.00;1.06;-0.53;1.06;0.00;-1.06
0;339;0.00;0.00;0.00;0.00;0.00;0.00
0;332;0.00;1.06;1.06;1.06;0.00;-1.06
0;336;0.00;0.53;0.00;0.00;0.53;-0.53
0;329;0.00;-0.53;-1.06;1.06;0.00;-1.06
0;329;0.00;0.53;0.00;-0.53;0.00;0.53
0;332;0.00;1.59;1.59;1.59;-0.53;-1.06
0;329;0.00;1.59;0.00;1.59;-0.53;-1.06
0;329;0.00;0.53;0.00;0.00;0.53;-0.53
0;325;0.00;-1.06;-1.06;1.06;0.53;-1.59
0;318;0.00;0.53;0.00;0.53;0.00;-0.53
0;318;0.00;1.59;1.06;1.59;-0.53;-1.06
0;321;0.00;1.59;1.06;-1.59;1.06;0.53
0;314;0.00;0.00;-0.53;0.53;0.00;-0.53
0;310;0.00;1.59;-0.53;1.59;0.00;-1.59
0;314;0.00;0.53;0.00;0.00;0.53;-0.53
0;318;0.00;0.53;0.00;-0.53;0.53;0.00
0;307;0.00;1.59;1.06;-1.59;1.06;0.53
2003;314;12.69;12.16;0.00;-6.34;-5.82;12.16
2051;318;12.69;11.10;1.59;6.34;-11.10;4.76
