N cmd (ramp);N actual;I cmd (ramp);I actual;I act (filt);Id actual;I max inuse;V out
6000;664;12.69;3.17;2.64;1.59;160;4096
6000;657;12.69;3.70;3.17;0.00;160;4096
6000;657;12.69;2.11;3.17;0.00;160;4096
6000;653;12.69;3.17;3.17;1.06;160;4096
6000;646;12.69;-2.11;2.11;-1.59;160;4096
6000;653;12.69;1.59;2.11;0.00;160;4096
6000;657;12.69;3.70;2.11;-0.53;160;4096
6000;664;12.69;3.17;3.17;0.00;160;4096
6000;664;12.69;4.23;3.17;0.53;160;4096
6000;653;12.69;3.70;3.17;-1.59;160;4096
6000;661;12.69;2.64;3.17;0.53;160;4096
6000;664;12.69;3.70;3.17;1.06;160;4096
6000;661;12.69;1.06;3.17;0.00;160;4096
6000;657;12.69;4.23;3.17;2.11;160;4096
6000;657;12.69;-2.11;2.11;-2.11;160;4096
6000;657;12.69;1.59;1.59;-0.53;160;4096
6000;668;12.69;4.23;3.17;-1.06;160;4096
6000;646;12.69;3.17;3.17;0.00;160;4096
6000;657;12.69;4.23;3.17;0.53;160;4096
6000;661;12.69;3.70;3.17;-2.11;160;4096
6000;657;12.69;2.11;2.64;0.53;160;4096
6000;657;12.69;3.70;3.17;0.53;160;4096
6000;650;12.69;1.06;2.64;0.53;160;4096
6000;657;12.69;3.17;2.64;1.59;160;4096
6000;657;12.69;-1.59;1.06;-1.59;160;4096
6000;664;12.69;-2.11;1.06;-1.59;160;4096
6000;657;12.69;4.76;2.11;-1.59;160;4096
6000;661;12.69;4.23;3.17;0.00;160;4096
6000;653;12.69;3.17;3.17;1.06;160;4096
6000;661;12.69;3.17;2.11;-2.11;160;4096
6000;661;12.69;3.17;3.17;1.59;160;4096
6000;650;12.69;3.70;3.17;0.00;160;4096
6000;661;12.69;2.11;3.17;0.00;160;4096
6000;653;12.69;1.06;2.11;0.53;160;4096
6000;661;12.69;-2.11;1.06;-1.59;160;4096
6000;661;12.69;-1.06;1.06;-1.06;160;4096
6000;657;12.69;5.29;2.11;-1.06;160;4096
6000;661;12.69;3.70;3.17;0.00;160;4096
6000;657;12.69;1.59;3.17;0.53;160;4096
6000;657;12.69;4.23;2.64;-2.64;160;4096
6000;657;12.69;2.64;2.64;2.11;160;4096
6000;657;12.69;3.70;3.17;0.00;160;4096
6000;657;12.69;0.53;2.64;0.00;160;4096
6000;664;12.69;2.11;3.17;1.59;160;4096
6000;650;12.69;-4.23;2.11;-4.23;160;4096
6000;653;12.69;1.59;1.59;-1.06;160;4096
6000;657;12.69;5.82;2.64;-1.59;160;4096
6000;661;12.69;3.70;3.17;0.00;160;4096
6000;664;12.69;2.11;3.17;0.53;160;4096
6000;657;12.69;4.23;2.64;1.59;160;4096
6000;661;12.69;3.17;3.17;2.64;160;4096
6000;657;12.69;3.70;3.17;1.06;160;4096
6000;661;12.69;3.17;3.70;-0.53;160;4096
6000;657;12.69;2.11;3.17;1.59;160;4096
6000;664;12.69;2.11;2.11;-1.06;160;4096
6000;657;12.69;1.59;1.59;-0.53;160;4096
6000;657;12.69;4.76;2.11;-1.06;160;4096
6000;661;12.69;4.23;3.17;0.00;160;4096
6000;650;12.69;3.17;3.17;0.53;160;4096
6000;657;12.69;3.17;3.17;0.00;160;4096
6000;653;12.69;2.11;2.64;1.06;160;4096
6000;657;12.69;5.29;3.70;0.00;160;4096
6000;664;12.69;1.59;3.17;-0.53;160;4096
6000;657;12.69;1.06;2.11;0.53;160;4096
489;657;0.00;2.11;1.06;0.53;160;3867
369;650;0.00;0.53;1.06;0.00;160;3794
249;643;0.00;0.53;1.06;0.00;160;3732
129;643;0.00;0.00;0.00;-0.53;160;3734
