N cmd (ramp);N actual;I cmd (ramp);I actual;Id actual;I1 actual;I2 actual;I3 actual
0;329;0.00;1.59;1.06;1.59;0.00;-1.59
0;325;0.00;2.11;-0.53;2.11;-0.53;-1.59
0;318;0.00;0.53;0.53;0.00;0.53;-0.53
0;314;0.00;1.06;0.00;1.06;0.00;-1.06
0;314;0.00;1.06;0.00;1.06;0.00;-1.06
0;310;0.00;0.53;0.00;0.53;0.00;-0.53
0;303;0.00;1.06;0.00;0.53;0.53;-1.06
0;303;0.00;0.00;-0.53;-0.53;0.53;0.00
0;296;0.00;1.59;-0.53;1.59;-0.53;-1.06
0;292;0.00;0.53;0.00;0.53;0.00;-0.53
0;292;0.00;0.53;0.00;0.00;0.53;-0.53
0;285;0.00;0.00;-0.53;-0.53;0.53;0.00
0;285;0.00;1.59;0.00;1.59;-0.53;-1.06
0;277;0.00;1.59;-0.53;1.59;0.00;-1.59
0;270;0.00;0.53;0.00;0.53;0.00;-0.53
0;270;0.00;0.00;0.00;0.53;0.00;-0.53
0;270;0.00;1.59;1.06;1.59;-0.53;-1.06
0;263;0.00;0.00;-0.53;0.53;0.00;-0.53
329;259;4.23;1.59;0.00;-0.53;1.59;-1.06
449;263;6.34;4.76;-1.59;0.00;-4.23;4.23
569;266;6.34;5.29;0.00;3.17;2.11;-5.29
689;263;6.34;4.76;0.53;-4.76;1.06;3.70
809;266;6.34;4.76;0.00;4.76;-2.11;-2.64
929;274;6.34;4.76;1.59;-4.23;4.23;0.00
1049;281;6.34;6.34;0.00;5.82;-4.76;-1.06
1169;285;6.34;6.34;1.06;-4.76;5.82;-1.06
1289;292;6.34;7.40;-1.06;6.87;-5.82;-1.06
1409;292;6.34;5.82;1.06;-4.23;5.82;-1.59
1529;299;6.34;6.34;-0.53;5.29;-5.29;0.00
1649;303;6.34;6.34;0.53;-4.76;5.82;-1.06
1769;310;6.34;6.34;0.00;5.29;-5.82;0.53
1889;318;6.34;6.34;1.59;-4.76;5.82;-1.06
2009;314;6.34;5.82;0.00;5.29;-4.23;-1.06
2129;321;6.34;4.23;0.53;-4.23;3.17;1.06
2249;325;6.34;6.34;0.53;6.34;-2.64;-3.70
2369;325;6.34;4.23;0.00;-3.70;0.53;3.17
2489;332;6.34;4.23;0.00;3.17;1.06;-4.23
2609;336;6.34;5.82;-1.06;-0.53;-4.76;5.29
2729;339;6.34;6.34;-1.59;-2.11;6.34;-4.23
2849;343;6.34;6.34;0.00;3.17;-6.34;3.17
2969;350;6.34;5.82;1.06;-4.23;5.82;-1.59
3089;354;6.34;6.34;0.00;6.34;-3.70;-2.64
3209;358;6.34;4.23;1.59;-4.23;1.59;2.64
3329;361;6.34;4.76;-0.53;1.06;3.70;-4.76
3449;361;6.34;7.40;-2.11;4.23;-7.40;3.17
3569;372;6.34;5.82;1.06;-4.23;5.82;-1.59
3689;376;6.34;6.34;0.53;6.34;-2.64;-3.70
3809;380;6.34;4.76;-2.64;0.00;-4.23;4.23
3929;383;6.34;6.87;0.00;-2.11;6.87;-4.76
4049;383;6.34;6.87;0.00;6.34;-5.29;-1.06
4169;387;6.34;4.76;1.06;-4.76;1.59;3.17
4289;398;6.34;7.40;-1.59;-1.06;6.87;-5.82
4409;402;6.34;6.87;-1.06;6.34;-5.82;-0.53
4529;402;6.34;5.82;0.53;-5.82;1.59;4.23
4649;405;6.34;6.34;0.00;0.00;5.29;-5.29
4769;409;6.34;4.76;0.53;3.70;-4.76;1.06
4889;412;6.34;4.76;1.59;-4.76;1.06;3.70
5009;412;6.34;6.34;1.06;-0.53;5.82;-5.29
5129;423;6.34;6.87;0.00;6.87;-3.70;-3.17
5249;423;6.34;6.87;-2.64;1.06;-6.34;5.29
5369;427;6.34;5.82;2.11;-3.70;5.82;-2.11
5489;423;6.34;3.70;-0.53;1.59;2.11;-3.70
5609;442;6.34;7.40;-1.06;5.82;-6.87;1.06
5729;434;6.34;5.82;0.53;-5.29;0.53;4.76
6000;653;6.34;3.17;2.64;-2.64;2.64;0.00
6000;653;6.34;2.64;-1.59;1.59;-2.64;1.06
6000;657;6.34;2.11;-0.53;1.59;-2.11;0.53
6000;664;6.34;3.17;0.00;2.64;-2.64;0.00
6000;653;6.34;4.76;-0.53;4.76;-1.06;-3.70
6000;657;6.34;-2.11;-1.59;0.00;2.11;-2.11
6000;653;6.34;4.23;-0.53;0.00;3.70;-3.70
6000;657;6.34;3.70;-1.06;-2.64;3.70;-1.06
6000;661;6.34;3.17;1.06;-2.11;3.17;-1.06
6000;668;6.34;2.64;0.53;-2.64;1.59;1.06
6000;664;6.34;2.64;2.11;-2.64;2.11;0.53
6000;657;6.34;1.59;-0.53;0.53;-1.59;1.06
6000;664;6.34;3.17;-2.11;3.17;-2.64;-0.53
6000;657;6.34;4.23;0.00;3.70;-3.17;-0.53
6000;653;6.34;4.23;-0.53;3.70;-0.53;-3.17
6000;657;6.34;2.11;-1.06;0.53;1.59;-2.11
6000;661;6.34;4.23;0.00;0.00;3.70;-3.70
6000;657;6.34;4.23;-1.06;-3.17;4.23;-1.06
6000;657;6.34;3.70;2.11;-1.59;3.70;-2.11
6000;661;6.34;3.17;0.53;-3.17;1.59;1.59
6000;653;6.34;1.06;1.06;-1.06;1.06;0.00
6000;661;6.34;2.64;-1.06;1.06;-2.64;1.59
6000;661;6.34;4.23;-2.11;3.70;-3.17;-0.53
6000;661;6.34;3.70;0.00;3.17;-3.17;0.00
6000;653;6.34;4.23;0.00;4.23;-1.06;-3.17
6000;664;6.34;2.11;-0.53;0.53;1.59;-2.11
6000;653;6.34;4.23;0.00;0.53;3.17;-3.70
6000;650;6.34;3.17;0.00;-2.11;3.17;-1.06
6000;657;6.34;3.70;1.59;-2.11;3.70;-1.59
6000;657;6.34;3.17;0.53;-3.17;1.59;1.59
6000;657;6.34;2.11;0.00;-1.59;-0.53;2.11
6000;657;6.34;-2.64;-2.64;2.64;-3.17;0.53
6000;661;6.34;3.17;-1.06;2.64;-2.64;0.00
6000;653;6.34;4.76;0.00;4.23;-3.70;-0.53
6000;657;6.34;3.17;0.00;3.17;-0.53;-2.64
6000;664;6.34;2.64;-1.06;0.00;2.11;-2.11
6000;650;6.34;3.17;1.06;1.59;1.59;-3.17
6000;661;6.34;4.76;-1.06;-3.70;4.23;-0.53
6000;661;6.34;3.17;1.59;-1.59;3.17;-1.59
6000;664;6.34;3.17;0.00;-3.17;1.06;2.11
6000;653;6.34;2.64;0.53;-2.11;0.00;2.11
6000;661;6.34;-1.59;-1.06;1.59;-2.11;0.53
6000;661;6.34;5.29;-2.11;4.76;-4.23;-0.53
6000;661;6.34;4.23;0.53;3.70;-3.70;0.00
6000;661;6.34;4.76;0.00;4.76;-1.06;-3.70
6000;661;6.34;2.11;-0.53;0.53;1.59;-2.11
6000;653;6.34;4.23;3.17;3.17;1.06;-4.23
6000;661;6.34;4.23;-0.53;-3.17;4.23;-1.06
6000;661;6.34;2.64;1.06;-2.11;2.64;-0.53
6000;657;6.34;3.70;0.00;-3.70;1.06;2.64
6000;661;6.34;1.06;0.00;-0.53;-0.53;1.06
6000;661;6.34;2.11;-0.53;1.06;-2.11;1.06
6000;661;6.34;4.76;-1.59;4.23;-3.70;-0.53
6000;664;6.34;2.64;0.00;2.64;-2.11;-0.53
6000;661;6.34;2.64;0.00;2.64;-0.53;-2.11
6000;650;6.34;3.17;-1.59;0.00;2.64;-2.64
6000;657;6.34;3.17;1.59;1.59;1.59;-3.17
6000;657;6.34;4.23;0.00;-3.17;4.23;-1.06
6000;657;6.34;2.11;0.00;-2.11;1.59;0.53
6000;657;6.34;2.11;1.06;-2.11;1.59;0.53
6000;657;6.34;2.11;0.00;-0.53;-1.59;2.11
6000;657;6.34;-1.06;-1.06;1.59;-1.59;0.00
6000;657;6.34;7.40;-2.64;6.87;-5.29;-1.59
6000;664;6.34;3.70;0.00;3.70;-2.64;-1.06
6000;657;6.34;2.64;0.00;2.64;-0.53;-2.11
6000;657;6.34;3.17;-1.59;-0.53;3.17;-2.64
6000;664;6.34;3.70;2.64;2.64;1.06;-3.70
6000;661;6.34;3.70;0.00;-2.64;3.70;-1.06
6000;653;6.34;1.59;1.06;-1.06;1.59;-0.53
6000;664;6.34;1.59;1.06;-1.59;1.06;0.53
6000;657;6.34;-2.11;-2.11;1.59;-2.64;1.06
6000;657;6.34;-3.70;-2.64;3.70;-3.70;0.00
6000;657;6.34;4.76;-1.06;4.23;-3.70;-0.53
6000;661;6.34;2.11;0.00;2.11;-1.59;-0.53
6000;657;6.34;1.06;0.00;1.06;0.00;-1.06
6000;664;6.34;3.70;-1.06;0.00;3.17;-3.17
6000;661;6.34;2.64;0.00;-0.53;2.64;-2.11
6000;661;6.34;4.23;0.00;-3.17;4.23;-1.06
6000;653;6.34;3.17;0.00;-3.17;1.59;1.59
6000;657;6.34;1.59;1.59;-1.59;1.59;0.00
6000;657;6.34;-4.23;-3.70;3.17;-4.76;1.59
6000;653;6.34;1.59;-0.53;1.06;-1.59;0.53
6000;657;6.34;3.17;-0.53;3.17;-2.64;-0.53
6000;661;6.34;1.59;0.00;1.59;-1.06;-0.53
6000;657;6.34;3.70;1.59;3.70;-1.59;-2.11
6000;661;6.34;4.76;0.00;1.59;3.17;-4.76
6000;661;6.34;2.11;1.06;0.53;1.59;-2.11
6000;664;6.34;4.23;0.00;-3.17;3.70;-0.53
6000;661;6.34;0.53;0.00;-0.53;0.00;0.53
6000;661;6.34;2.11;1.06;-2.11;1.06;1.06
6000;646;6.34;-3.17;-2.64;2.11;-3.70;1.59
6000;657;6.34;1.06;0.00;0.53;-1.06;0.53
6000;657;6.34;2.11;0.53;1.06;-2.11;1.06
6000;653;6.34;4.76;0.00;4.76;-2.11;-2.64
6000;661;6.34;3.17;0.00;2.64;0.53;-3.17
6000;657;6.34;3.17;0.00;0.53;2.64;-3.17
6000;664;6.34;3.17;0.53;-0.53;3.17;-2.64
6000;657;6.34;3.70;1.06;-2.64;3.70;-1.06
6000;661;6.34;1.59;-0.53;-1.06;-0.53;1.59
595;653;0.00;3.70;2.11;-3.70;1.59;2.11
475;653;0.00;1.06;-0.53;0.53;-1.06;0.53
355;653;0.00;-1.06;-1.06;1.59;-0.53;-1.06
235;653;0.00;1.59;-0.53;1.59;-1.06;-0.53
115;657;0.00;2.11;-1.06;1.59;0.53;-2.11
0;653;0.00;0.53;0.00;0.53;0.00;-0.53
0;646;0.00;-0.53;-0.53;-0.53;1.06;-0.53
0;639;0.00;1.06;0.00;0.53;0.53;-1.06
0;635;0.00;1.59;1.06;1.59;-1.06;-0.53
0;632;0.00;0.00;0.00;0.00;0.00;0.00
0;624;0.00;1.06;0.53;0.53;0.53;-1.06
0;621;0.00;1.06;0.53;0.53;0.53;-1.06
0;621;0.00;1.06;0.53;1.06;0.00;-1.06
0;617;0.00;0.53;0.00;0.53;-0.53;0.00
0;613;0.00;0.00;0.00;0.00;0.00;0.00
0;613;0.00;1.06;0.00;1.06;0.00;-1.06
0;606;0.00;2.11;1.06;-2.11;1.59;0.53
0;599;0.00;2.11;1.59;-1.59;2.11;-0.53
0;602;0.00;1.59;1.06;-1.06;1.59;-0.53
0;591;0.00;0.53;0.00;0.53;0.00;-0.53
0;584;0.00;1.06;0.53;-0.53;1.06;-0.53
0;588;0.00;1.06;0.53;-1.06;1.06;0.00
0;580;0.00;1.59;0.00;1.59;-1.06;-0.53
0;580;0.00;0.53;0.53;0.00;0.53;-0.53
0;569;0.00;0.53;0.00;0.53;0.00;-0.53
0;566;0.00;0.53;0.00;-0.53;0.53;0.00
0;569;0.00;1.06;0.53;1.06;-0.53;-0.53
0;562;0.00;1.59;1.59;1.59;0.00;-1.59
0;558;0.00;0.00;-0.53;-0.53;0.53;0.00
0;558;0.00;0.53;0.00;0.53;0.00;-0.53
0;548;0.00;1.59;0.00;1.59;-0.53;-1.06
0;540;0.00;1.06;0.00;1.06;-0.53;-0.53
0;533;0.00;-0.53;-1.06;1.06;0.00;-1.06
0;537;0.00;0.00;0.00;0.53;0.00;-0.53
0;529;0.00;1.59;1.59;-1.59;1.59;0.00
0;522;0.00;1.06;-0.53;1.06;-1.06;0.00
0;522;0.00;1.59;0.00;-1.59;1.59;0.00
0;518;0.00;1.59;1.06;1.06;0.53;-1.59
0;507;0.00;0.00;-0.53;-0.53;0.53;0.00
0;515;0.00;0.00;-0.53;0.00;0.53;-0.53
0;507;0.00;-1.06;-1.59;1.59;0.00;-1.59
0;507;0.00;1.06;-0.53;1.06;0.00;-1.06
0;504;0.00;2.11;0.53;2.11;-0.53;-1.59
0;489;0.00;1.06;0.53;1.06;-0.53;-0.53
0;485;0.00;0.53;0.00;0.00;-0.53;0.53
0;485;0.00;1.59;-0.53;1.59;-0.53;-1.06
0;482;0.00;0.00;-0.53;0.53;0.00;-0.53
0;478;0.00;0.53;0.00;0.53;0.00;-0.53
0;471;0.00;0.53;0.00;0.00;0.53;-0.53
0;467;0.00;0.53;0.53;0.53;-0.53;0.00
0;464;0.00;3.17;-1.06;3.17;-1.59;-1.59
0;456;0.00;-1.59;-1.59;2.11;-0.53;-1.59
0;456;0.00;1.59;0.53;1.59;-0.53;-1.06
0;453;0.00;1.59;1.06;1.59;0.00;-1.59
0;445;0.00;0.00;-0.53;0.00;0.53;-0.53
0;434;0.00;1.06;0.53;-0.53;1.06;-0.53
0;442;0.00;1.06;0.53;0.53;0.53;-1.06
0;427;0.00;0.53;0.00;0.00;0.53;-0.53
0;431;0.00;2.11;-1.06;2.11;-1.06;-1.06
0;423;0.00;1.06;0.00;1.06;0.00;-1.06
0;423;0.00;1.06;0.53;1.06;-0.53;-0.53
0;423;0.00;-1.06;-1.06;1.06;0.53;-1.59
0;420;0.00;0.53;0.53;-0.53;0.53;0.00
0;412;0.00;1.06;1.06;1.06;0.00;-1.06
0;402;0.00;-1.06;-1.06;0.53;1.06;-1.59
0;402;0.00;-0.53;-0.53;1.06;-0.53;-0.53
0;394;0.00;1.06;0.53;0.00;1.06;-1.06
0;398;0.00;2.64;0.00;2.11;0.00;-2.11
0;387;0.00;0.53;0.00;0.00;0.53;-0.53
0;383;0.00;0.53;0.53;0.53;0.00;-0.53
0;383;0.00;1.06;-0.53;1.06;0.00;-1.06
0;376;0.00;0.53;0.00;0.00;0.53;-0.53
0;372;0.00;2.11;1.59;2.11;-0.53;-1.59
0;365;0.00;-0.53;-0.53;0.53;0.53;-1.06
0;365;0.00;0.53;0.00;0.53;0.00;-0.53
0;358;0.00;1.59;0.00;1.59;0.00;-1.59
0;347;0.00;0.53;0.53;-0.53;0.53;0.00
0;350;0.00;1.06;1.06;1.06;0.00;-1.06
0;350;0.00;0.53;0.00;0.00;0.53;-0.53
0;347;0.00;1.06;0.53;0.53;0.53;-1.06
0;339;0.00;-1.06;-1.06;1.06;0.53;-1.59
0;332;0.00;0.53;0.53;0.00;0.53;-0.53
0;329;0.00;0.00;-0.53;-0.53;0.53;0.00
0;329;0.00;1.06;0.00;1.06;0.00;-1.06
0;321;0.00;0.53;0.00;0.53;0.00;-0.53
0;321;0.00;0.00;0.00;0.53;0.00;-0.53
0;310;0.00;0.53;0.00;0.53;0.00;-0.53
0;307;0.00;-0.53;-1.06;1.06;0.00;-1.06
0;307;0.00;1.59;1.59;1.59;0.00;-1.59
0;303;0.00;-0.53;-0.53;0.53;0.53;-1.06
0;296;0.00;2.11;2.11;2.11;-0.53;-1.59
0;296;0.00;1.06;-0.53;0.53;0.53;-1.06
0;292;0.00;0.53;0.53;0.53;0.00;-0.53
