Time,Graph Time,Power,Speed,Axle Torque,Tacho,Axle Speed,TqC,TE,Comments
sec,sec,kW,km/h,Nm,rpm,rpm,Nm,N,
1.320,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.340,0.020,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.360,0.040,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.380,0.060,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.400,0.080,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.420,0.100,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.440,0.120,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.460,0.140,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.480,0.160,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.500,0.180,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.520,0.200,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.540,0.220,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.560,0.240,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.580,0.260,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.600,0.280,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.620,0.300,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.640,0.320,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.660,0.340,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.680,0.360,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.700,0.380,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.720,0.400,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.740,0.420,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.760,0.440,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.780,0.460,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.800,0.480,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.820,0.500,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.840,0.520,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.860,0.540,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.880,0.560,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.900,0.580,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.920,0.600,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.940,0.620,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.960,0.640,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.980,0.660,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.000,0.680,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.020,0.700,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.040,0.720,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.060,0.740,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.080,0.760,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.100,0.780,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.120,0.800,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.140,0.820,0.000,0.000,0.000,0.000,0.000,-,0.000,
2.160,0.840,0.000,0.000,0.100,0.000,0.000,-,0.000,
2.180,0.860,0.000,0.000,0.300,0.000,0.000,-,0.000,
2.200,0.880,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.220,0.900,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.240,0.920,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.260,0.940,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.280,0.960,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.300,0.980,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.320,1.000,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.340,1.020,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.360,1.040,0.000,0.000,0.600,0.000,0.000,-,0.000,
2.380,1.060,0.000,0.000,0.800,0.000,0.000,-,0.000,
2.400,1.080,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.420,1.100,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.440,1.120,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.460,1.140,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.480,1.160,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.500,1.180,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.520,1.200,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.540,1.220,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.560,1.240,0.000,0.000,1.100,0.000,0.000,-,0.000,
2.580,1.260,0.000,0.000,1.300,0.000,0.000,-,0.000,
2.600,1.280,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.620,1.300,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.640,1.320,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.660,1.340,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.680,1.360,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.700,1.380,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.720,1.400,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.740,1.420,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.760,1.440,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.780,1.460,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.800,1.480,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.820,1.500,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.840,1.520,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.860,1.540,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.880,1.560,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.900,1.580,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.920,1.600,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.940,1.620,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.960,1.640,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.980,1.660,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.000,1.680,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.020,1.700,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.040,1.720,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.060,1.740,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.080,1.760,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.100,1.780,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.120,1.800,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.140,1.820,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.160,1.840,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.180,1.860,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.200,1.880,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.220,1.900,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.240,1.920,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.260,1.940,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.280,1.960,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.300,1.980,0.000,0.000,1.500,0.000,0.000,-,0.000,
3.320,2.000,0.000,0.000,1.300,0.000,0.000,-,0.000,
3.340,2.020,0.000,0.000,1.100,0.000,0.000,-,0.000,
3.360,2.040,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.380,2.060,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.400,2.080,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.420,2.100,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.440,2.120,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.460,2.140,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.480,2.160,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.500,2.180,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.520,2.200,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.540,2.220,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.560,2.240,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.580,2.260,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.600,2.280,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.620,2.300,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.640,2.320,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.660,2.340,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.680,2.360,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.700,2.380,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.720,2.400,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.740,2.420,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.760,2.440,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.780,2.460,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.800,2.480,0.000,0.000,1.000,0.000,0.000,-,0.000,
3.820,2.500,0.000,0.000,0.800,0.000,0.000,-,0.000,
3.840,2.520,0.000,0.000,0.600,0.000,0.000,-,0.000,
3.860,2.540,0.000,0.000,0.500,0.000,0.000,-,0.000,
3.880,2.560,0.000,0.000,0.500,0.000,0.000,-,0.000,
3.900,2.580,0.000,0.000,0.500,0.000,0.000,-,0.000,
3.920,2.600,0.000,0.000,0.500,0.000,0.000,-,0.000,
3.940,2.620,0.000,0.000,0.500,0.000,0.000,-,0.000,
3.960,2.640,0.000,0.000,0.500,0.000,0.000,-,0.000,
3.980,2.660,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.000,2.680,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.020,2.700,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.040,2.720,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.060,2.740,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.080,2.760,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.100,2.780,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.120,2.800,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.140,2.820,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.160,2.840,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.180,2.860,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.200,2.880,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.220,2.900,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.240,2.920,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.260,2.940,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.280,2.960,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.300,2.980,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.320,3.000,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.340,3.020,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.360,3.040,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.380,3.060,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.400,3.080,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.420,3.100,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.440,3.120,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.460,3.140,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.480,3.160,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.500,3.180,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.520,3.200,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.540,3.220,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.560,3.240,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.580,3.260,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.600,3.280,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.620,3.300,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.640,3.320,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.660,3.340,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.680,3.360,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.700,3.380,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.720,3.400,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.740,3.420,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.760,3.440,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.780,3.460,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.800,3.480,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.820,3.500,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.840,3.520,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.860,3.540,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.880,3.560,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.900,3.580,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.920,3.600,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.940,3.620,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.960,3.640,0.000,0.000,0.500,0.000,0.000,-,0.000,
4.980,3.660,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.000,3.680,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.020,3.700,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.040,3.720,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.060,3.740,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.080,3.760,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.100,3.780,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.120,3.800,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.140,3.820,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.160,3.840,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.180,3.860,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.200,3.880,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.220,3.900,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.240,3.920,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.260,3.940,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.280,3.960,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.300,3.980,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.320,4.000,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.340,4.020,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.360,4.040,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.380,4.060,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.400,4.080,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.420,4.100,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.440,4.120,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.460,4.140,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.480,4.160,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.500,4.180,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.520,4.200,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.540,4.220,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.560,4.240,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.580,4.260,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.600,4.280,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.620,4.300,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.640,4.320,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.660,4.340,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.680,4.360,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.700,4.380,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.720,4.400,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.740,4.420,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.760,4.440,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.780,4.460,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.800,4.480,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.820,4.500,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.840,4.520,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.860,4.540,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.880,4.560,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.900,4.580,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.920,4.600,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.940,4.620,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.960,4.640,0.000,0.000,0.500,0.000,0.000,-,0.000,
5.980,4.660,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.000,4.680,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.020,4.700,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.040,4.720,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.060,4.740,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.080,4.760,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.100,4.780,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.120,4.800,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.140,4.820,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.160,4.840,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.180,4.860,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.200,4.880,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.220,4.900,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.240,4.920,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.260,4.940,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.280,4.960,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.300,4.980,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.320,5.000,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.340,5.020,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.360,5.040,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.380,5.060,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.400,5.080,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.420,5.100,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.440,5.120,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.460,5.140,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.480,5.160,0.000,0.000,0.500,0.000,0.000,-,0.000,
6.500,5.180,0.000,0.000,0.500,0.000,0.000,-,0.000,
