Time,Graph Time,Power,Speed,Axle Torque,Tacho,Axle Speed,TqC,TE,Comments
sec,sec,kW,km/h,Nm,rpm,rpm,Nm,N,
1.350,0.000,0.000,0.000,3.500,0.000,0.000,-,0.000,
1.370,0.020,0.000,0.000,3.700,0.000,0.000,-,0.000,
1.390,0.040,0.000,0.000,3.900,0.000,0.000,-,0.000,
1.410,0.060,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.430,0.080,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.450,0.100,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.470,0.120,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.490,0.140,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.510,0.160,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.530,0.180,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.550,0.200,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.570,0.220,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.590,0.240,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.610,0.260,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.630,0.280,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.650,0.300,0.000,0.000,4.000,0.000,0.000,-,0.000,
1.670,0.320,0.000,0.000,3.800,0.000,0.000,-,0.000,
1.690,0.340,0.000,0.000,3.600,0.000,0.000,-,0.000,
1.710,0.360,0.000,0.000,3.500,0.000,0.000,-,0.000,
1.730,0.380,0.000,0.000,3.500,0.000,0.000,-,0.000,
1.750,0.400,0.000,0.000,3.500,0.000,0.000,-,0.000,
1.770,0.420,0.000,0.000,3.300,0.000,0.000,-,0.000,
1.790,0.440,0.000,0.000,3.100,0.000,0.000,-,0.000,
1.810,0.460,0.000,0.000,3.000,0.000,0.000,-,0.000,
1.830,0.480,0.000,0.000,3.000,0.000,0.000,-,0.000,
1.850,0.500,0.000,0.000,3.000,0.000,0.000,-,0.000,
1.870,0.520,0.000,0.000,2.800,0.000,0.000,-,0.000,
1.890,0.540,0.000,0.000,2.600,0.000,0.000,-,0.000,
1.910,0.560,0.000,0.000,2.500,0.000,0.000,-,0.000,
1.930,0.580,0.000,0.000,2.500,0.000,0.000,-,0.000,
1.950,0.600,0.000,0.000,2.500,0.000,0.000,-,0.000,
1.970,0.620,0.000,0.000,2.500,0.000,0.000,-,0.000,
1.990,0.640,0.000,0.000,2.500,0.000,0.000,-,0.000,
2.010,0.660,0.000,0.000,2.400,0.000,0.000,-,0.000,
2.030,0.680,0.000,0.000,2.200,0.000,0.000,-,0.000,
2.050,0.700,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.070,0.720,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.090,0.740,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.110,0.760,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.130,0.780,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.150,0.800,0.000,0.000,2.000,0.000,0.000,-,0.000,
2.170,0.820,0.000,0.000,1.800,0.000,0.000,-,0.000,
2.190,0.840,0.000,0.000,1.600,0.000,0.000,-,0.000,
2.210,0.860,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.230,0.880,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.250,0.900,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.270,0.920,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.290,0.940,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.310,0.960,0.000,0.000,1.400,0.000,0.000,-,0.000,
2.330,0.980,0.000,0.000,1.200,0.000,0.000,-,0.000,
2.350,1.000,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.370,1.020,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.390,1.040,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.410,1.060,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.430,1.080,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.450,1.100,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.470,1.120,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.490,1.140,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.510,1.160,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.530,1.180,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.550,1.200,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.570,1.220,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.590,1.240,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.610,1.260,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.630,1.280,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.650,1.300,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.670,1.320,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.690,1.340,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.710,1.360,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.730,1.380,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.750,1.400,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.770,1.420,0.000,0.000,0.800,0.000,0.000,-,0.000,
2.790,1.440,0.000,0.000,0.600,0.000,0.000,-,0.000,
2.810,1.460,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.830,1.480,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.850,1.500,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.870,1.520,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.890,1.540,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.910,1.560,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.930,1.580,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.950,1.600,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.970,1.620,0.000,0.000,0.700,0.000,0.000,-,0.000,
2.990,1.640,0.000,0.000,0.900,0.000,0.000,-,0.000,
3.010,1.660,0.000,0.314,1.100,13.415,6.152,-,3.208,
3.030,1.680,0.003,0.942,1.300,40.246,18.456,0.597,9.624,
3.050,1.700,0.007,1.570,1.500,67.077,30.760,0.996,16.040,
3.070,1.720,0.015,2.166,1.900,92.554,34.232,1.529,24.640,
3.090,1.740,0.026,2.762,2.300,118.030,37.704,2.063,33.240,
3.110,1.760,0.040,3.355,2.800,143.384,41.336,2.639,42.524,
3.130,1.780,0.058,3.946,3.400,168.615,45.128,3.258,52.492,
3.150,1.800,0.079,4.536,4.000,193.846,48.920,3.877,62.460,
3.170,1.820,0.106,5.141,4.800,219.692,53.080,4.615,74.348,
3.190,1.840,0.138,5.746,5.600,245.538,57.240,5.353,86.236,
3.210,1.860,0.173,6.345,6.400,271.138,61.160,6.095,98.196,
3.230,1.880,0.212,6.938,7.200,296.492,64.840,6.842,110.228,
3.250,1.900,0.256,7.531,8.000,321.846,68.520,7.589,122.260,
3.270,1.920,0.300,8.078,9.000,345.230,71.528,8.294,133.628,
3.290,1.940,0.347,8.626,10.000,368.615,74.536,9.000,144.996,
3.310,1.960,0.395,9.143,10.900,390.707,77.224,9.658,155.592,
3.330,1.980,0.442,9.629,11.700,411.507,79.592,10.267,165.416,
3.350,2.000,0.492,10.116,12.500,432.307,81.960,10.877,175.240,
3.370,2.020,0.534,10.531,13.500,450.030,83.752,11.331,182.552,
3.390,2.040,0.577,10.945,14.500,467.753,85.544,11.785,189.864,
3.410,2.060,0.617,11.326,15.300,483.999,87.112,12.175,196.144,
3.430,2.080,0.653,11.671,15.900,498.769,88.456,12.500,201.392,
3.450,2.100,0.690,12.017,16.500,513.538,89.800,12.826,206.640,
3.470,2.120,0.717,12.296,17.100,525.476,90.776,13.034,209.992,
3.490,2.140,0.745,12.576,17.700,537.415,91.752,13.242,213.344,
3.510,2.160,0.768,12.826,18.200,548.122,92.584,13.375,215.476,
3.530,2.180,0.784,13.048,18.600,557.599,93.272,13.431,216.388,
3.550,2.200,0.801,13.270,19.000,567.076,93.960,13.488,217.300,
3.570,2.220,0.808,13.440,19.400,574.338,94.392,13.431,216.380,
3.590,2.240,0.815,13.609,19.800,581.599,94.824,13.374,215.460,
3.610,2.260,0.818,13.759,20.000,587.999,95.192,13.282,213.988,
3.630,2.280,0.818,13.889,20.000,593.538,95.496,13.157,211.964,
3.650,2.300,0.818,14.018,20.000,599.076,95.800,13.031,209.940,
3.670,2.320,0.810,14.113,20.000,603.138,95.976,12.827,206.652,
3.690,2.340,0.803,14.208,20.000,607.199,96.152,12.623,203.364,
3.710,2.360,0.793,14.289,20.000,610.646,96.272,12.397,199.724,
3.730,2.380,0.781,14.355,20.000,613.476,96.336,12.149,195.732,
3.750,2.400,0.768,14.422,20.000,616.307,96.400,11.901,191.740,
3.770,2.420,0.752,14.465,19.800,618.153,96.352,11.618,187.180,
3.790,2.440,0.736,14.508,19.600,619.999,96.304,11.335,182.620,
3.810,2.460,0.718,14.541,19.400,621.415,96.232,11.039,177.852,
3.830,2.480,0.699,14.564,19.200,622.399,96.136,10.731,172.876,
3.850,2.500,0.680,14.587,19.000,623.384,96.040,10.422,167.900,
3.870,2.520,0.661,14.593,18.800,623.630,95.880,10.117,162.996,
3.890,2.540,0.641,14.599,18.600,623.876,95.720,9.813,158.092,
3.910,2.560,0.622,14.599,18.300,623.876,95.544,9.513,153.260,
3.930,2.580,0.602,14.593,17.900,623.630,95.352,9.217,148.500,
3.950,2.600,0.582,14.587,17.500,623.384,95.160,8.922,143.740,
3.970,2.620,0.563,14.573,17.300,622.769,94.904,8.637,139.148,
3.990,2.640,0.544,14.558,17.100,622.153,94.648,8.352,134.556,
4.010,2.660,0.525,14.540,16.900,621.353,94.400,8.075,130.088,
4.030,2.680,0.507,14.517,16.700,620.369,94.160,7.805,125.744,
4.050,2.700,0.489,14.494,16.500,619.384,93.920,7.535,121.400,
4.070,2.720,0.473,14.465,16.300,618.153,93.664,7.307,117.720,
4.090,2.740,0.457,14.436,16.100,616.922,93.408,7.079,114.040,
4.110,2.760,0.443,14.404,16.000,615.569,93.136,6.870,110.676,
4.130,2.780,0.430,14.370,16.000,614.092,92.848,6.681,107.628,
4.150,2.800,0.416,14.335,16.000,612.615,92.560,6.491,104.580,
4.170,2.820,0.404,14.295,15.800,610.892,92.224,6.317,101.764,
4.190,2.840,0.392,14.255,15.600,609.169,91.888,6.142,98.948,
4.210,2.860,0.381,14.213,15.500,607.384,91.560,5.986,96.444,
4.230,2.880,0.371,14.170,15.500,605.538,91.240,5.850,94.252,
4.250,2.900,0.361,14.126,15.500,603.692,90.920,5.714,92.060,
4.270,2.920,0.354,14.083,15.700,601.846,90.600,5.618,90.508,
4.290,2.940,0.347,14.040,15.900,599.999,90.280,5.522,88.956,
4.310,2.960,0.341,13.994,16.100,598.030,89.944,5.444,87.708,
4.330,2.980,0.336,13.945,16.300,595.938,89.592,5.385,86.764,
4.350,3.000,0.331,13.896,16.500,593.846,89.240,5.327,85.820,
4.370,3.020,0.329,13.847,16.700,591.753,88.920,5.307,85.492,
4.390,3.040,0.326,13.798,16.900,589.661,88.600,5.286,85.164,
4.410,3.060,0.324,13.749,17.100,587.569,88.272,5.272,84.936,
4.430,3.080,0.323,13.700,17.300,585.476,87.936,5.264,84.808,
4.450,3.100,0.321,13.651,17.500,583.384,87.600,5.256,84.680,
4.470,3.120,0.322,13.605,17.700,581.415,87.296,5.284,85.136,
4.490,3.140,0.322,13.559,17.900,579.446,86.992,5.313,85.592,
4.510,3.160,0.323,13.512,18.200,577.415,86.688,5.347,86.140,
4.530,3.180,0.325,13.463,18.600,575.323,86.384,5.386,86.780,
4.550,3.200,0.326,13.414,19.000,573.230,86.080,5.426,87.420,
4.570,3.220,0.329,13.368,19.400,571.261,85.792,5.501,88.620,
4.590,3.240,0.332,13.321,19.800,569.292,85.504,5.575,89.820,
4.610,3.260,0.337,13.275,20.300,567.323,85.216,5.666,91.288,
4.630,3.280,0.342,13.229,20.900,565.353,84.928,5.774,93.024,
4.650,3.300,0.347,13.183,21.500,563.384,84.640,5.882,94.760,
4.670,3.320,0.353,13.140,21.900,561.538,84.368,5.997,96.616,
4.690,3.340,0.358,13.097,22.300,559.692,84.096,6.112,98.472,
4.710,3.360,0.365,13.054,22.800,557.846,83.816,6.243,100.576,
4.730,3.380,0.372,13.010,23.400,555.999,83.528,6.389,102.928,
4.750,3.400,0.379,12.967,24.000,554.153,83.240,6.535,105.280,
4.770,3.420,0.387,12.924,24.600,552.307,82.984,6.687,107.728,
4.790,3.440,0.394,12.881,25.200,550.461,82.728,6.839,110.176,
4.810,3.460,0.402,12.838,25.800,548.615,82.472,6.993,112.668,
4.830,3.480,0.409,12.794,26.400,546.769,82.216,7.151,115.204,
4.850,3.500,0.417,12.751,27.000,544.923,81.960,7.308,117.740,
4.870,3.520,0.425,12.711,27.600,543.199,81.704,7.469,120.332,
4.890,3.540,0.433,12.671,28.200,541.476,81.448,7.630,122.924,
4.910,3.560,0.441,12.630,28.800,539.753,81.184,7.804,125.736,
4.930,3.580,0.450,12.590,29.400,538.030,80.912,7.993,128.768,
4.950,3.600,0.459,12.550,30.000,536.307,80.640,8.181,131.800,
4.970,3.620,0.462,12.455,30.600,532.246,79.328,8.286,133.488,
4.990,3.640,0.464,12.360,31.200,528.184,78.016,8.390,135.176,
5.010,3.660,0.456,12.178,31.600,520.430,75.344,8.374,134.912,
5.030,3.680,0.439,11.910,31.800,508.984,71.312,8.237,132.696,
5.050,3.700,0.422,11.642,32.000,497.538,67.280,8.099,130.480,
5.070,3.720,0.393,11.285,32.200,482.277,63.824,7.780,125.344,
5.090,3.740,0.365,10.928,32.400,467.015,60.368,7.461,120.208,
5.110,3.760,0.338,10.590,32.400,452.554,57.808,7.136,114.960,
5.130,3.780,0.313,10.270,32.200,438.892,56.144,6.803,109.600,
5.150,3.800,0.288,9.950,32.000,425.231,54.480,6.470,104.240,
5.170,3.820,0.270,9.688,31.800,414.031,53.552,6.230,100.376,
5.190,3.840,0.253,9.426,31.600,402.831,52.624,5.991,96.512,
5.210,3.860,0.238,9.189,31.400,392.677,51.800,5.778,93.088,
5.230,3.880,0.225,8.976,31.200,383.569,51.080,5.593,90.104,
5.250,3.900,0.212,8.762,31.000,374.461,50.360,5.408,87.120,
5.270,3.920,0.204,8.601,30.800,367.569,49.976,5.298,85.352,
5.290,3.940,0.196,8.440,30.600,360.677,49.592,5.188,83.584,
5.310,3.960,0.191,8.302,30.400,354.769,49.296,5.134,82.712,
5.330,3.980,0.188,8.186,30.200,349.846,49.088,5.135,82.736,
5.350,4.000,0.186,8.071,30.000,344.923,48.880,5.137,82.760,
5.370,4.020,0.185,7.988,30.000,341.354,48.768,5.183,83.504,
5.390,4.040,0.185,7.904,30.000,337.784,48.656,5.229,84.248,
5.410,4.060,0.186,7.831,30.000,334.646,48.536,5.313,85.596,
5.430,4.080,0.189,7.767,30.000,331.938,48.408,5.434,87.548,
5.450,4.100,0.192,7.704,30.000,329.230,48.280,5.555,89.500,
5.470,4.120,0.195,7.658,30.200,327.261,48.216,5.693,91.716,
5.490,4.140,0.199,7.612,30.400,325.292,48.152,5.830,93.932,
5.510,4.160,0.203,7.574,30.600,323.692,48.112,5.997,96.624,
5.530,4.180,0.209,7.546,30.800,322.461,48.096,6.194,99.792,
5.550,4.200,0.215,7.517,31.000,321.230,48.080,6.391,102.960,
5.570,4.220,0.222,7.494,31.400,320.246,48.080,6.615,106.576,
